,Germany,India,US,United Kingdom
2020-02-29,0,0,1,0
2020-03-01,0,0,1,0
2020-03-02,0,0,6,0
2020-03-03,0,0,7,0
2020-03-04,0,0,11,0
2020-03-05,0,0,12,0
2020-03-06,0,0,14,1
2020-03-07,0,0,17,2
2020-03-08,0,0,21,2
2020-03-09,2,0,22,3
2020-03-10,2,0,28,7
2020-03-11,3,1,33,7
2020-03-12,5,1,43,9
2020-03-13,5,2,51,10
2020-03-14,8,2,58,29
2020-03-15,12,2,70,43
2020-03-16,12,2,97,65
2020-03-17,12,3,134,82
2020-03-18,12,3,194,116
2020-03-19,20,4,266,162
2020-03-20,31,5,372,194
2020-03-21,47,4,475,252
2020-03-22,55,7,603,288
2020-03-23,86,10,790,364
2020-03-24,114,10,1033,512
2020-03-25,149,12,1366,703
2020-03-26,198,20,1783,884
2020-03-27,253,20,2305,1172
2020-03-28,325,24,3018,1464
2020-03-29,389,27,3573,1676
2020-03-30,455,32,4280,2050
2020-03-31,583,35,5359,2453
2020-04-01,732,58,6611,3125
2020-04-02,872,72,8142,3782
2020-04-03,1017,72,9562,4518
2020-04-04,1158,86,11165,5274
2020-04-05,1342,99,12781,5873
2020-04-06,1434,136,14523,6440
2020-04-07,1607,150,17099,7545
2020-04-08,1861,178,19249,8575
2020-04-09,2107,226,21463,9691
2020-04-10,2373,246,23650,10813
2020-04-11,2544,288,25786,11656
2020-04-12,2673,331,27675,12313
2020-04-13,2799,358,29660,13037
2020-04-14,2969,393,32133,14113
2020-04-15,3254,405,34731,14993
2020-04-16,3569,448,36914,16029
2020-04-17,3868,486,39009,16942
2020-04-18,4110,521,40955,18047
2020-04-19,4294,559,42935,18479
2020-04-20,4404,592,45180,19049
2020-04-21,4598,645,47662,20273
2020-04-22,4879,681,50129,21120
2020-04-23,5094,721,52543,21802
2020-04-24,5321,780,54712,22812
2020-04-25,5500,825,56446,23627
2020-04-26,5640,881,57852,23991
2020-04-27,5750,939,59332,24311
2020-04-28,5913,1008,61576,25280
2020-04-29,6115,1079,63968,26049
2020-04-30,6288,1154,66159,26683
2020-05-01,6481,1223,68067,27381
2020-05-02,6575,1323,69810,27965
2020-05-03,6649,1391,71013,28218
2020-05-04,6692,1566,72371,28490
2020-05-05,6831,1693,74592,29216
2020-05-06,6996,1785,76914,29863
2020-05-07,7119,1889,78829,30321
2020-05-08,7266,1985,80600,30900
2020-05-09,7369,2101,82066,31175
2020-05-10,7395,2212,83066,31392
2020-05-11,7417,2294,84101,31579
2020-05-12,7533,2415,85690,32193
2020-05-13,7634,2551,87425,32640
2020-05-14,7723,2649,89198,32992
2020-05-15,7824,2753,90863,33342
2020-05-16,7881,2871,92060,33753
2020-05-17,7914,3025,92890,33820
2020-05-18,7935,3156,94110,33966
2020-05-19,8007,3302,95555,34466
2020-05-20,8090,3434,97058,34794
2020-05-21,8147,3584,98246,35067
2020-05-22,8174,3726,99450,35358
2020-05-23,8216,3868,100524,35578
2020-05-24,8247,4024,101165,35957
2020-05-25,8257,4172,101762,36061
2020-05-26,8302,4344,102419,36192
2020-05-27,8349,4534,103898,36614
2020-05-28,8411,4711,104987,36957
2020-05-29,8450,4980,106104,37231
2020-05-30,8489,5185,107056,37385
2020-05-31,8500,5408,107677,37445
2020-06-01,8511,5608,108451,37531
2020-06-02,8522,5829,109432,37780
2020-06-03,8551,6088,110443,38034
2020-06-04,8581,6363,111448,38164
2020-06-05,8613,6649,112328,38422
2020-06-06,8646,6946,112966,38565
2020-06-07,8668,7207,113422,38619
2020-06-08,8674,7473,113934,38666
2020-06-09,8711,7750,114852,38861
2020-06-10,8729,8102,115724,39025
2020-06-11,8755,8498,116541,39101
2020-06-12,8763,8884,117363,39232
